filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k17_0.899_0.509_0.437_0.484_c862.mtx,82.2654,0.049451,3.09639,0.203606,2.97625
k17_0.899_0.510_0.437_0.484_c862.mtx,82.1986,0.049962,3.15401,0.200433,2.99599
k17_0.899_0.511_0.437_0.484_c862.mtx,82.3076,0.049202,3.16949,0.238571,3.01535
k17_0.899_0.512_0.437_0.484_c862.mtx,83.6199,0.063321,3.2603,0.416107,3.03504
k17_0.899_0.513_0.437_0.484_c862.mtx,82.1273,0.050382,3.17979,0.214657,3.03872
k17_0.899_0.514_0.437_0.484_c862.mtx,82.2081,0.051017,3.1873,0.199153,3.06323
k17_0.899_0.515_0.437_0.484_c862.mtx,82.6514,0.049994,3.2141,0.254269,3.07186
k17_0.899_0.516_0.437_0.484_c862.mtx,82.2003,0.050428,3.19853,0.214571,3.04316
k17_0.899_0.517_0.437_0.484_c862.mtx,83.2377,0.050204,3.22709,0.194382,3.10123
k17_0.899_0.518_0.437_0.484_c862.mtx,82.5695,0.049204,3.26699,0.215509,3.12794
k17_0.899_0.519_0.437_0.484_c862.mtx,82.4422,0.048538,3.27064,0.228495,3.13623
k17_0.899_0.520_0.437_0.484_c862.mtx,82.4984,0.04993,3.28778,0.225533,3.14676
k17_0.899_0.521_0.437_0.484_c862.mtx,82.4618,0.048829,3.34472,0.213537,3.20168
k17_0.899_0.522_0.437_0.484_c862.mtx,82.6643,0.055311,3.33405,0.212904,3.22269
k17_0.899_0.523_0.437_0.484_c862.mtx,82.3261,0.050821,3.39167,0.237654,3.23504
k17_0.899_0.524_0.437_0.484_c862.mtx,82.3521,0.04954,3.38968,0.245041,3.22747
k17_0.899_0.525_0.437_0.484_c862.mtx,82.4583,0.05144,3.42268,0.216164,3.28164
k17_0.899_0.526_0.437_0.484_c862.mtx,82.4079,0.049828,3.39165,0.220611,3.25772
k17_0.899_0.527_0.437_0.484_c862.mtx,82.5615,0.048878,3.42675,0.22436,3.27291
k17_0.899_0.528_0.437_0.484_c862.mtx,82.6709,0.050804,3.43823,0.245466,3.28996
k17_0.899_0.529_0.437_0.484_c862.mtx,82.468,0.050677,3.47643,0.247799,3.32473
k17_0.899_0.530_0.437_0.484_c862.mtx,82.5922,0.050405,3.52577,0.243888,3.34372
k17_0.899_0.531_0.437_0.484_c862.mtx,82.6178,0.048955,3.52448,0.254355,3.36815
