filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k21_0.899_0.537_0.437_0.484_c862.mtx,118.921,0.093774,251.003,0.0487637,250.976
k21_0.899_0.537_0.438_0.484_c862.mtx,118.882,0.075508,254.695,0.677244,254.422
k21_0.900_0.437_0.437_0.484_c862.mtx,100.42,0.062828,97.4214,0.11354,97.355
k21_0.901_0.437_0.437_0.484_c862.mtx,101.737,0.06623,111.212,0.0658193,111.191
k21_0.902_0.437_0.437_0.484_c862.mtx,100.814,0.061702,102.34,0.179293,102.226
k21_0.903_0.437_0.437_0.484_c862.mtx,100.824,0.062489,102.948,0.212739,102.82
k21_0.904_0.437_0.437_0.484_c862.mtx,101.745,0.069648,107.609,0.0469255,107.594
k21_0.905_0.437_0.437_0.484_c862.mtx,102.034,0.066948,105.153,0.343132,104.954
k21_0.906_0.437_0.437_0.484_c862.mtx,101.049,0.059793,103.747,0.288995,103.587
k21_0.907_0.437_0.437_0.484_c862.mtx,102.99,0.072324,107.143,0.469318,106.819
k21_0.908_0.437_0.437_0.484_c862.mtx,101.351,0.059587,107.924,0.0829975,107.867
k21_0.909_0.437_0.437_0.484_c862.mtx,102.749,0.065062,106.497,0.216335,106.344
k21_0.910_0.437_0.437_0.484_c862.mtx,101.704,0.063305,109.21,0.416847,108.906
k21_0.911_0.437_0.437_0.484_c862.mtx,102.742,0.067657,110.715,0.410454,110.438
k21_0.912_0.437_0.437_0.484_c862.mtx,101.853,0.061701,111.446,0.439056,111.182
k21_0.913_0.437_0.437_0.484_c862.mtx,103.227,0.066784,112.063,0.425827,111.852
k21_0.914_0.437_0.437_0.484_c862.mtx,102.049,0.06509,108.882,0.296061,108.738
k21_0.915_0.437_0.437_0.484_c862.mtx,103.26,0.070032,113.77,0.322805,113.572
k21_0.916_0.437_0.437_0.484_c862.mtx,102.305,0.058403,111.295,0.453752,111.117
k21_0.917_0.437_0.437_0.484_c862.mtx,103.788,0.06699,114.018,0.104832,113.977
k21_0.918_0.437_0.437_0.484_c862.mtx,102.708,0.061323,116.408,0.163814,116.298
k21_0.919_0.437_0.437_0.484_c862.mtx,104.744,0.075243,119.316,0.699282,118.987
k21_0.920_0.437_0.437_0.484_c862.mtx,102.922,0.060637,118.461,0.0964539,118.408
k21_0.921_0.437_0.437_0.484_c862.mtx,104.095,0.068895,119.096,0.0609167,119.069
k21_0.922_0.437_0.437_0.484_c862.mtx,103.128,0.063259,121.012,0.731386,120.573
k21_0.923_0.437_0.437_0.484_c862.mtx,103.425,0.066374,122.488,0.478005,122.512
k21_0.924_0.437_0.437_0.484_c862.mtx,104.386,0.069118,123.151,0.271265,123.018
k21_0.925_0.437_0.437_0.484_c862.mtx,104.605,0.077265,121.558,0.431432,121.344
k21_0.926_0.437_0.437_0.484_c862.mtx,104.497,0.067912,123.887,0.0765398,123.844
k21_0.927_0.437_0.437_0.484_c862.mtx,104.83,0.068873,125.533,0.388533,125.394
k21_0.928_0.437_0.437_0.484_c862.mtx,103.834,0.063307,126.621,0.113538,126.548
k21_0.929_0.437_0.437_0.484_c862.mtx,103.897,0.061171,128.196,0.471761,127.904
k21_0.930_0.437_0.437_0.484_c862.mtx,105.236,0.066583,128.265,0.0707855,128.223
k21_0.931_0.437_0.437_0.484_c862.mtx,104.447,0.066067,130.053,0.109577,129.991
k21_0.932_0.437_0.437_0.484_c862.mtx,104.306,0.061085,131.403,0.567898,131.057
k21_0.933_0.437_0.437_0.484_c862.mtx,104.55,0.063235,132.592,0.553852,132.263
k21_0.934_0.437_0.437_0.484_c862.mtx,105.608,0.066986,132.738,0.0716755,132.713
k21_0.935_0.437_0.437_0.484_c862.mtx,104.73,0.067992,134.56,0.114152,134.499
k21_0.936_0.437_0.437_0.484_c862.mtx,104.911,0.063204,135.521,0.118908,135.486
k21_0.937_0.437_0.437_0.484_c862.mtx,104.943,0.064768,133.098,0.128288,133.009
k21_0.938_0.437_0.437_0.484_c862.mtx,106.533,0.069641,138.887,1.30025,138.392
k21_0.939_0.437_0.437_0.484_c862.mtx,105.791,0.065989,139.033,0.115106,138.96
k21_0.940_0.437_0.437_0.484_c862.mtx,106.751,0.070469,139.232,0.0844148,139.163
k21_0.941_0.437_0.437_0.484_c862.mtx,107.408,0.075982,167.184,0.5096,166.959
k21_0.942_0.437_0.437_0.484_c862.mtx,105.607,0.06316,142.613,0.0971426,142.577
k21_0.943_0.437_0.437_0.484_c862.mtx,107.002,0.069424,142.652,0.150318,142.565
k21_0.944_0.437_0.437_0.484_c862.mtx,107.9,0.068861,171.291,0.086933,171.243
k21_0.945_0.437_0.437_0.484_c862.mtx,107.292,0.07189,146.69,0.123995,146.643
k21_0.946_0.437_0.437_0.484_c862.mtx,106.591,0.066781,147.766,0.135596,147.708
k21_0.947_0.437_0.437_0.484_c862.mtx,108.662,0.075014,175.449,0.0965097,175.396
k21_0.948_0.437_0.437_0.484_c862.mtx,106.799,0.060925,150.177,0.102295,150.12
k21_0.949_0.437_0.437_0.484_c862.mtx,107.923,0.072214,151.241,0.59604,150.988
k21_0.950_0.437_0.437_0.484_c862.mtx,108.062,0.071775,151.991,0.0872833,151.933
k21_0.951_0.437_0.437_0.484_c862.mtx,107.252,0.061676,154.98,0.025592,154.964
k21_0.952_0.437_0.437_0.484_c862.mtx,107.477,0.062963,156.208,0.107986,156.161
k21_0.953_0.437_0.437_0.484_c862.mtx,109.63,0.072022,185.639,0.0689514,185.603
k21_0.954_0.437_0.437_0.484_c862.mtx,107.923,0.064342,156.756,0.193386,156.599
k21_0.955_0.437_0.437_0.484_c862.mtx,107.869,0.060954,159.636,0.0662124,159.61
k21_0.956_0.437_0.437_0.484_c862.mtx,108.367,0.063001,161.55,1.42709,160.549
k21_0.957_0.437_0.437_0.484_c862.mtx,108.379,0.061518,157.095,0.164965,157.047
k21_0.958_0.437_0.437_0.484_c862.mtx,109.456,0.078879,165.227,0.0602177,165.188
k21_0.959_0.437_0.437_0.484_c862.mtx,109.489,0.071643,171.028,0.0874448,170.979
k21_0.960_0.437_0.437_0.484_c862.mtx,110.175,0.074196,166.06,0.11986,165.98
k21_0.961_0.437_0.437_0.484_c862.mtx,109.974,0.07336,167.366,0.0982617,167.321
k21_0.962_0.437_0.437_0.484_c862.mtx,110.278,0.072639,169.082,0.114611,169.019
k21_0.963_0.437_0.437_0.484_c862.mtx,109.37,0.066262,170.798,0.146348,170.736
k21_0.964_0.437_0.437_0.484_c862.mtx,109.39,0.069542,171.343,0.121764,171.293
k21_0.965_0.437_0.437_0.484_c862.mtx,110.842,0.074809,172.018,0.0561406,171.987
k21_0.966_0.437_0.437_0.484_c862.mtx,110.08,0.066584,174.466,0.118524,174.405
k21_0.967_0.437_0.437_0.484_c862.mtx,111.3,0.074155,174.871,0.0995934,174.823
k21_0.968_0.437_0.437_0.484_c862.mtx,111.736,0.071885,174.191,0.103466,174.163
k21_0.969_0.437_0.437_0.484_c862.mtx,110.557,0.066636,178.948,0.0991878,178.895
k21_0.970_0.437_0.437_0.484_c862.mtx,110.463,0.067546,180.806,0.0752372,180.778
k21_0.971_0.437_0.437_0.484_c862.mtx,112.12,0.074328,180.785,0.110789,180.724
k21_0.972_0.437_0.437_0.484_c862.mtx,111.546,0.074835,179.54,0.45519,179.359
k21_0.973_0.437_0.437_0.484_c862.mtx,111.539,0.06332,185.612,0.722286,185.278
k21_0.974_0.437_0.437_0.484_c862.mtx,111.783,0.063614,189.199,0.0933004,189.193
k21_0.975_0.437_0.437_0.484_c862.mtx,113.966,0.078595,223.66,0.209637,223.551
k21_0.976_0.437_0.437_0.484_c862.mtx,112.998,0.081631,186.577,0.0543763,186.554
k21_0.977_0.437_0.437_0.484_c862.mtx,113.645,0.077049,190.556,0.119947,190.476
k21_0.978_0.437_0.437_0.484_c862.mtx,112.7,0.066878,192.67,0.0963826,192.614
k21_0.979_0.437_0.437_0.484_c862.mtx,113.97,0.077616,192.294,0.449013,192.114
k21_0.980_0.437_0.437_0.484_c862.mtx,115.371,0.081711,233.19,0.346598,233.058
k21_0.981_0.437_0.437_0.484_c862.mtx,114.658,0.087837,198.618,0.162131,198.497
k21_0.982_0.437_0.437_0.484_c862.mtx,114.566,0.075399,196.603,0.149192,196.503
k21_0.983_0.437_0.437_0.484_c862.mtx,114.822,0.081829,195.432,0.135097,195.381
k21_0.984_0.437_0.437_0.484_c862.mtx,116.235,0.076131,241.345,0.0535616,241.314
