filename,rows_per_block,cols_per_block,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.526_0.484_c862.mtx,512,256,105.919,0.069207,428.916,0.213892,428.868
k16_0.899_0.537_0.526_0.484_c862.mtx,512,512,106.037,0.068374,251.861,0.259286,251.741
k16_0.899_0.537_0.526_0.484_c862.mtx,512,1024,103.834,0.055194,144.8,0.204052,144.704
k16_0.899_0.537_0.526_0.484_c862.mtx,512,2048,103.588,0.056702,79.9036,0.115602,79.8698
k16_0.899_0.537_0.526_0.484_c862.mtx,512,4096,103.606,0.055047,43.083,0.14415,43.0115
k16_0.899_0.537_0.526_0.484_c862.mtx,512,8192,106.439,0.063512,22.5612,0.157416,22.4897
k16_0.899_0.537_0.526_0.484_c862.mtx,512,16384,103.75,0.0556,11.6497,0.145899,11.5677
k16_0.899_0.537_0.526_0.484_c862.mtx,512,32768,104.339,0.054624,5.96865,0.101038,5.9168
k16_0.899_0.537_0.526_0.484_c862.mtx,512,65536,105.637,0.06274,3.2339,0.0765616,3.19836
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,2,105.749,0.062271,25638,4.36945,25635.6
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,4,103.715,0.054416,13623.8,11.7228,13615.3
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,8,106.006,0.075844,7422.53,6.74711,7416.8
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,16,103.792,0.05583,4154.72,1.93154,4154.27
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,32,105.824,0.062167,2391.8,0.945013,2391.53
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,64,103.723,0.054818,1396.05,0.677187,1395.72
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,128,103.751,0.055689,807.281,1.0624,806.834
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,256,103.894,0.055629,461.673,0.352507,461.475
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,512,106.021,0.065111,259.301,0.219568,259.182
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,1024,103.952,0.053969,145.109,0.146416,145.062
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,2048,106.102,0.088777,79.532,0.228469,79.4548
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,4096,105.975,0.0637,42.6031,0.130456,42.5166
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,8192,103.599,0.055644,22.3537,0.156749,22.2699
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,16384,105.91,0.063114,11.5396,0.151262,11.4651
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,32768,103.85,0.054957,5.95925,0.124898,5.8912
k16_0.899_0.537_0.526_0.484_c862.mtx,1024,65536,105.777,0.06356,3.23483,0.0836684,3.19224
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,2,103.699,0.054704,43522.8,23.3141,43509.2
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,4,105.969,0.06702,22405.7,9.77798,22404.5
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,8,103.586,0.056036,11617.7,3.80267,11615.2
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,16,103.779,0.054627,6086.49,3.051,6085.83
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,32,103.821,0.05555,3209.45,1.93393,3208.42
k16_0.899_0.537_0.526_0.484_c862.mtx,2048,64,105.998,0.061765,1706.73,0.509754,1706.37
