filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k21_0.936_0.437_0.437_0.484_c862-r4_c4.tns,Assemble: 0.139342 ms
k21_0.936_0.437_0.437_0.484_c862-r16_c512.tns,B size: (131072 x 4096 x 16 x 512), 1003445132 bytes
k21_0.936_0.437_0.437_0.484_c862-r16_c1024.tns,B size: (131072 x 2048 x 16 x 1024), 978212996 bytes
k21_0.936_0.437_0.437_0.484_c862-r16_c2048.tns,B size: (131072 x 1024 x 16 x 2048), 942943756 bytes
k21_0.936_0.437_0.437_0.484_c862-r16_c4096.tns,B size: (131072 x 512 x 16 x 4096), 897110564 bytes
k21_0.936_0.437_0.437_0.484_c862-r32_c4.tns,Assemble: 0.124965 ms
k21_0.936_0.437_0.437_0.484_c862-r32_c8.tns,Assemble: 0.088587 ms
k21_0.936_0.437_0.437_0.484_c862-r32_c16.tns,Assemble: 0.127509 ms
k21_0.936_0.437_0.437_0.484_c862-r32_c32.tns,Assemble: 0.102783 ms
k21_0.936_0.437_0.437_0.484_c862-r32_c64.tns,B size: (65536 x 32768 x 32 x 64), 1030964204 bytes
k21_0.936_0.437_0.437_0.484_c862-r32_c128.tns,B size: (65536 x 16384 x 32 x 128), 1020319108 bytes
k21_0.936_0.437_0.437_0.484_c862-r32_c256.tns,B size: (65536 x 8192 x 32 x 256), 1003823772 bytes
k21_0.936_0.437_0.437_0.484_c862-r32_c512.tns,B size: (65536 x 4096 x 32 x 512), 979598564 bytes
k21_0.936_0.437_0.437_0.484_c862-r32_c1024.tns,B size: (65536 x 2048 x 32 x 1024), 946398132 bytes
k21_0.936_0.437_0.437_0.484_c862-r32_c2048.tns,B size: (65536 x 1024 x 32 x 2048), 904126228 bytes
k21_0.936_0.437_0.437_0.484_c862-r32_c4096.tns,B size: (65536 x 512 x 32 x 4096), 854614188 bytes
k21_0.936_0.437_0.437_0.484_c862-r64_c4.tns,Assemble: 0.119525 ms
k21_0.936_0.437_0.437_0.484_c862-r64_c8.tns,Assemble: 0.087875 ms
k21_0.936_0.437_0.437_0.484_c862-r64_c16.tns,Assemble: 0.08485 ms
k21_0.936_0.437_0.437_0.484_c862-r64_c32.tns,Assemble: 0.124584 ms
k21_0.936_0.437_0.437_0.484_c862-r64_c64.tns,119.222,0.131917,837.994,1.44953,837.372
k21_0.936_0.437_0.437_0.484_c862-r64_c128.tns,B size: (32768 x 16384 x 64 x 128), 1003522460 bytes
k21_0.936_0.437_0.437_0.484_c862-r64_c256.tns,B size: (32768 x 8192 x 64 x 256), 979819436 bytes
k21_0.936_0.437_0.437_0.484_c862-r64_c512.tns,B size: (32768 x 4096 x 64 x 512), 947726692 bytes
k21_0.936_0.437_0.437_0.484_c862-r64_c1024.tns,B size: (32768 x 2048 x 64 x 1024), 907779932 bytes
k21_0.936_0.437_0.437_0.484_c862-r64_c2048.tns,B size: (32768 x 1024 x 64 x 2048), 862108684 bytes
k21_0.936_0.437_0.437_0.484_c862-r64_c4096.tns,B size: (32768 x 512 x 64 x 4096), 814252692 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c4.tns,Assemble: 0.093907 ms
k21_0.936_0.437_0.437_0.484_c862-r128_c8.tns,Assemble: 0.11194 ms
k21_0.936_0.437_0.437_0.484_c862-r128_c16.tns,Assemble: 0.121698 ms
k21_0.936_0.437_0.437_0.484_c862-r128_c32.tns,120.218,0.136327,829.064,1.62358,828.226
k21_0.936_0.437_0.437_0.484_c862-r128_c64.tns,135.545,0.211287,526.608,1.08973,526.373
k21_0.936_0.437_0.437_0.484_c862-r128_c128.tns,142.717,0.256191,355.676,0.227991,355.587
k21_0.936_0.437_0.437_0.484_c862-r128_c256.tns,B size: (16384 x 8192 x 128 x 256), 947929404 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c512.tns,B size: (16384 x 4096 x 128 x 512), 909337708 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c1024.tns,B size: (16384 x 2048 x 128 x 1024), 866158932 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c2048.tns,B size: (16384 x 1024 x 128 x 2048), 822234612 bytes
k21_0.936_0.437_0.437_0.484_c862-r128_c4096.tns,B size: (16384 x 512 x 128 x 4096), 781019100 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c4.tns,Assemble: 0.08505 ms
k21_0.936_0.437_0.437_0.484_c862-r256_c8.tns,Assemble: 0.082335 ms
k21_0.936_0.437_0.437_0.484_c862-r256_c16.tns,118.253,0.095479,837.137,1.77056,836.313
k21_0.936_0.437_0.437_0.484_c862-r256_c32.tns,122.405,0.092774,520.435,0.490295,520.281
k21_0.936_0.437_0.437_0.484_c862-r256_c64.tns,122.869,0.135364,349.052,0.787166,348.604
k21_0.936_0.437_0.437_0.484_c862-r256_c128.tns,119.555,0.121538,268.303,0.705476,267.966
k21_0.936_0.437_0.437_0.484_c862-r256_c256.tns,147.34,0.233879,240.859,0.42021,240.903
k21_0.936_0.437_0.437_0.484_c862-r256_c512.tns,B size: (8192 x 4096 x 256 x 512), 868184452 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c1024.tns,B size: (8192 x 2048 x 256 x 1024), 826863036 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c2048.tns,B size: (8192 x 1024 x 256 x 2048), 789436260 bytes
k21_0.936_0.437_0.437_0.484_c862-r256_c4096.tns,B size: (8192 x 512 x 256 x 4096), 757400988 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c4.tns,Assemble: 0.118042 ms
k21_0.936_0.437_0.437_0.484_c862-r512_c8.tns,119.02,0.129112,836.008,1.27677,835.457
k21_0.936_0.437_0.437_0.484_c862-r512_c16.tns,121.662,0.138831,515.28,0.228795,515.207
k21_0.936_0.437_0.437_0.484_c862-r512_c32.tns,120.355,0.129684,349.787,0.337645,349.624
k21_0.936_0.437_0.437_0.484_c862-r512_c64.tns,119.801,0.14389,266.323,0.370809,266.107
k21_0.936_0.437_0.437_0.484_c862-r512_c128.tns,118.744,0.136466,236.027,1.3319,235.441
k21_0.936_0.437_0.437_0.484_c862-r512_c256.tns,119.254,0.124464,201.975,0.219144,201.908
k21_0.936_0.437_0.437_0.484_c862-r512_c512.tns,113.788,0.134734,171.191,1.3016,170.586
k21_0.936_0.437_0.437_0.484_c862-r512_c1024.tns,B size: (4096 x 2048 x 512 x 1024), 794394636 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c2048.tns,B size: (4096 x 1024 x 512 x 2048), 766034804 bytes
k21_0.936_0.437_0.437_0.484_c862-r512_c4096.tns,B size: (4096 x 512 x 512 x 4096), 742768644 bytes
k21_0.936_0.437_0.437_0.484_c862-r1024_c4.tns,119.172,0.129773,819.484,1.53376,818.743
k21_0.936_0.437_0.437_0.484_c862-r1024_c8.tns,119.138,0.102963,525.126,1.14414,524.625
k21_0.936_0.437_0.437_0.484_c862-r1024_c16.tns,120.175,0.126357,348.172,0.859375,347.785
k21_0.936_0.437_0.437_0.484_c862-r1024_c32.tns,120.924,0.137218,268.459,1.74263,267.738
k21_0.936_0.437_0.437_0.484_c862-r1024_c64.tns,119.56,0.132559,231.522,1.07779,231.08
k21_0.936_0.437_0.437_0.484_c862-r1024_c128.tns,120.574,0.139382,200.335,0.136634,200.302
k21_0.936_0.437_0.437_0.484_c862-r1024_c256.tns,114.844,0.124784,178.374,0.392377,178.173
k21_0.936_0.437_0.437_0.484_c862-r1024_c512.tns,114.507,0.123482,143.589,0.149388,143.528
k21_0.936_0.437_0.437_0.484_c862-r1024_c1024.tns,115.708,0.084989,135.429,0.0773123,135.394
k21_0.936_0.437_0.437_0.484_c862-r1024_c2048.tns,B size: (2048 x 1024 x 1024 x 2048), 751489660 bytes
k21_0.936_0.437_0.437_0.484_c862-r1024_c4096.tns,B size: (2048 x 512 x 1024 x 4096), 734672284 bytes
k21_0.936_0.437_0.437_0.484_c862-r2048_c4.tns,119.878,0.138481,516.777,0.38189,516.669
k21_0.936_0.437_0.437_0.484_c862-r2048_c8.tns,120.499,0.129002,343.016,0.272917,342.939
k21_0.936_0.437_0.437_0.484_c862-r2048_c16.tns,118.94,0.08501,269.904,0.346598,269.714
k21_0.936_0.437_0.437_0.484_c862-r2048_c32.tns,119.406,0.130646,231.502,0.217706,231.334
k21_0.936_0.437_0.437_0.484_c862-r2048_c64.tns,119.877,0.132058,198.914,0.424283,198.735
k21_0.936_0.437_0.437_0.484_c862-r2048_c128.tns,112.92,0.13285,177.096,0.313161,177.034
k21_0.936_0.437_0.437_0.484_c862-r2048_c256.tns,116.413,0.108233,143.874,0.138819,143.835
k21_0.936_0.437_0.437_0.484_c862-r2048_c512.tns,113.438,0.122991,134.574,0.151926,134.545
k21_0.936_0.437_0.437_0.484_c862-r2048_c1024.tns,113.342,0.101911,183.068,0.191111,182.965
k21_0.936_0.437_0.437_0.484_c862-r2048_c2048.tns,133.409,0.198383,269.273,0.617589,269.024
k21_0.936_0.437_0.437_0.484_c862-r2048_c4096.tns,B size: (1024 x 512 x 2048 x 4096), 730493636 bytes
k21_0.936_0.437_0.437_0.484_c862-r4096_c4.tns,119.979,0.140554,341.718,0.491115,341.389
k21_0.936_0.437_0.437_0.484_c862-r4096_c8.tns,120.962,0.124915,261.641,0.231721,261.58
k21_0.936_0.437_0.437_0.484_c862-r4096_c16.tns,119.392,0.13279,234.009,0.231509,233.871
k21_0.936_0.437_0.437_0.484_c862-r4096_c32.tns,116.262,0.121869,201.918,0.21671,201.858
k21_0.936_0.437_0.437_0.484_c862-r4096_c64.tns,115.332,0.102643,176.253,0.421618,175.998
k21_0.936_0.437_0.437_0.484_c862-r4096_c128.tns,113.129,0.136858,145.229,1.26833,144.688
k21_0.936_0.437_0.437_0.484_c862-r4096_c256.tns,118.105,0.139452,134.431,0.313003,134.305
k21_0.936_0.437_0.437_0.484_c862-r4096_c512.tns,116.228,0.135224,183.441,0.488731,183.1
k21_0.936_0.437_0.437_0.484_c862-r4096_c1024.tns,113.706,0.082354,280.171,4.91833,279.893
k21_0.936_0.437_0.437_0.484_c862-r4096_c2048.tns,113.702,0.088316,404.404,15.7462,391.052
k21_0.936_0.437_0.437_0.484_c862-r4096_c4096.tns,114.718,0.129644,426.336,2.92347,425.103
k21_0.899_0.489_0.437_0.484_c862-r4_c4.tns,Assemble: 0.132299 ms
k21_0.899_0.489_0.437_0.484_c862-r4_c8.tns,B size: (524288 x 262144 x 4 x 8), 1201375772 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c16.tns,Assemble: 0.124944 ms
k21_0.899_0.489_0.437_0.484_c862-r4_c32.tns,B size: (524288 x 65536 x 4 x 32), 1200312044 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c64.tns,B size: (524288 x 32768 x 4 x 64), 1199013636 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c128.tns,B size: (524288 x 16384 x 4 x 128), 1196621884 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c256.tns,B size: (524288 x 8192 x 4 x 256), 1192269548 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c512.tns,B size: (524288 x 4096 x 4 x 512), 1184454508 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c1024.tns,B size: (524288 x 2048 x 4 x 1024), 1170865524 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c2048.tns,B size: (524288 x 1024 x 4 x 2048), 1148216764 bytes
k21_0.899_0.489_0.437_0.484_c862-r4_c4096.tns,B size: (524288 x 512 x 4 x 4096), 1112482244 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c4.tns,Assemble: 0.121038 ms
k21_0.899_0.489_0.437_0.484_c862-r8_c8.tns,Assemble: 0.115667 ms
k21_0.899_0.489_0.437_0.484_c862-r8_c16.tns,c size: (8 x 16), 1032 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c32.tns,B size: (262144 x 65536 x 8 x 32), 1198229620 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c64.tns,B size: (262144 x 32768 x 8 x 64), 1196039884 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c128.tns,B size: (262144 x 16384 x 8 x 128), 1192060780 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c256.tns,B size: (262144 x 8192 x 8 x 256), 1185013268 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c512.tns,B size: (262144 x 4096 x 8 x 512), 1172804276 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c1024.tns,B size: (262144 x 2048 x 8 x 1024), 1152586020 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c2048.tns,B size: (262144 x 1024 x 8 x 2048), 1120935860 bytes
k21_0.899_0.489_0.437_0.484_c862-r8_c4096.tns,B size: (262144 x 512 x 8 x 4096), 1074762060 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c4.tns,Assemble: 0.210616 ms
k21_0.899_0.489_0.437_0.484_c862-r16_c8.tns,Assemble: 0.120637 ms
k21_0.899_0.489_0.437_0.484_c862-r16_c16.tns,Assemble: 0.115487 ms
k21_0.899_0.489_0.437_0.484_c862-r16_c32.tns,B size: (131072 x 65536 x 16 x 32), 1195756324 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c64.tns,B size: (131072 x 32768 x 16 x 64), 1191966252 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c128.tns,B size: (131072 x 16384 x 16 x 128), 1185244820 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c256.tns,B size: (131072 x 8192 x 16 x 256), 1173733436 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c512.tns,B size: (131072 x 4096 x 16 x 512), 1154834972 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c1024.tns,B size: (131072 x 2048 x 16 x 1024), 1125639324 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c2048.tns,B size: (131072 x 1024 x 16 x 2048), 1083660724 bytes
k21_0.899_0.489_0.437_0.484_c862-r16_c4096.tns,B size: (131072 x 512 x 16 x 4096), 1028326420 bytes
k21_0.899_0.489_0.437_0.484_c862-r32_c4.tns,Assemble: 0.095009 ms
k21_0.899_0.489_0.437_0.484_c862-r32_c8.tns,Assemble: 0.095259 ms
k21_0.899_0.489_0.437_0.484_c862-r32_c16.tns,Assemble: 0.080161 ms
k21_0.899_0.489_0.437_0.484_c862-r32_c32.tns,Assemble: 0.130745 ms
k21_0.899_0.489_0.437_0.484_c862-r32_c64.tns,B size: (65536 x 32768 x 32 x 64), 1185300076 bytes
k21_0.899_0.489_0.437_0.484_c862-r32_c128.tns,B size: (65536 x 16384 x 32 x 128), 1174113004 bytes
k21_0.899_0.489_0.437_0.484_c862-r32_c256.tns,B size: (65536 x 8192 x 32 x 256), 1155907180 bytes
k21_0.899_0.489_0.437_0.484_c862-r32_c512.tns,B size: (65536 x 4096 x 32 x 512), 1128031996 bytes
k21_0.899_0.489_0.437_0.484_c862-r32_c1024.tns,B size: (65536 x 2048 x 32 x 1024), 1088615092 bytes
k21_0.899_0.489_0.437_0.484_c862-r32_c2048.tns,B size: (65536 x 1024 x 32 x 2048), 1037579956 bytes
k21_0.899_0.489_0.437_0.484_c862-r32_c4096.tns,B size: (65536 x 512 x 32 x 4096), 977820932 bytes
k21_0.899_0.489_0.437_0.484_c862-r64_c4.tns,Assemble: 0.113383 ms
k21_0.899_0.489_0.437_0.484_c862-r64_c8.tns,Assemble: 0.118512 ms
k21_0.899_0.489_0.437_0.484_c862-r64_c16.tns,Assemble: 0.088146 ms
k21_0.899_0.489_0.437_0.484_c862-r64_c32.tns,Assemble: 0.131908 ms
k21_0.899_0.489_0.437_0.484_c862-r64_c64.tns,125.906,0.095049,891.298,1.60403,890.686
k21_0.899_0.489_0.437_0.484_c862-r64_c128.tns,B size: (32768 x 16384 x 64 x 128), 1156223076 bytes
k21_0.899_0.489_0.437_0.484_c862-r64_c256.tns,B size: (32768 x 8192 x 64 x 256), 1129100796 bytes
k21_0.899_0.489_0.437_0.484_c862-r64_c512.tns,B size: (32768 x 4096 x 64 x 512), 1091027604 bytes
k21_0.899_0.489_0.437_0.484_c862-r64_c1024.tns,B size: (32768 x 2048 x 64 x 1024), 1042701956 bytes
k21_0.899_0.489_0.437_0.484_c862-r64_c2048.tns,B size: (32768 x 1024 x 64 x 2048), 987378724 bytes
k21_0.899_0.489_0.437_0.484_c862-r64_c4096.tns,B size: (32768 x 512 x 64 x 4096), 930279084 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c4.tns,Assemble: 0.110498 ms
k21_0.899_0.489_0.437_0.484_c862-r128_c8.tns,Assemble: 0.124824 ms
k21_0.899_0.489_0.437_0.484_c862-r128_c16.tns,Assemble: 0.102132 ms
k21_0.899_0.489_0.437_0.484_c862-r128_c32.tns,119.798,0.12771,889.239,0.687345,889.18
k21_0.899_0.489_0.437_0.484_c862-r128_c64.tns,119.255,0.130666,551.344,0.917675,550.98
k21_0.899_0.489_0.437_0.484_c862-r128_c128.tns,118.761,0.138741,372.436,0.515041,372.436
k21_0.899_0.489_0.437_0.484_c862-r128_c256.tns,B size: (16384 x 8192 x 128 x 256), 1092175124 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c512.tns,B size: (16384 x 4096 x 128 x 512), 1045354260 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c1024.tns,B size: (16384 x 2048 x 128 x 1024), 992760468 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c2048.tns,B size: (16384 x 1024 x 128 x 2048), 940103596 bytes
k21_0.899_0.489_0.437_0.484_c862-r128_c4096.tns,B size: (16384 x 512 x 128 x 4096), 892117996 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c4.tns,Assemble: 0.125044 ms
k21_0.899_0.489_0.437_0.484_c862-r256_c8.tns,Assemble: 0.121228 ms
k21_0.899_0.489_0.437_0.484_c862-r256_c16.tns,120.183,0.140785,867.069,0.469925,866.902
k21_0.899_0.489_0.437_0.484_c862-r256_c32.tns,119.165,0.142087,545.694,0.615524,545.427
k21_0.899_0.489_0.437_0.484_c862-r256_c64.tns,121.144,0.15414,367.723,0.320529,367.782
k21_0.899_0.489_0.437_0.484_c862-r256_c128.tns,124.006,0.131246,293.613,0.349273,293.454
k21_0.899_0.489_0.437_0.484_c862-r256_c256.tns,118.181,0.133471,259.671,0.222278,259.571
k21_0.899_0.489_0.437_0.484_c862-r256_c512.tns,B size: (8192 x 4096 x 256 x 512), 995791380 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c1024.tns,B size: (8192 x 2048 x 256 x 1024), 945852828 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c2048.tns,B size: (8192 x 1024 x 256 x 2048), 902111836 bytes
k21_0.899_0.489_0.437_0.484_c862-r256_c4096.tns,B size: (8192 x 512 x 256 x 4096), 865991548 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c4.tns,Assemble: 0.130054 ms
k21_0.899_0.489_0.437_0.484_c862-r512_c8.tns,117.206,0.123973,882.274,2.69668,881.136
k21_0.899_0.489_0.437_0.484_c862-r512_c16.tns,122.426,0.137648,552.393,11.4549,542.299
k21_0.899_0.489_0.437_0.484_c862-r512_c32.tns,123.316,0.103114,368.314,0.39766,368.088
k21_0.899_0.489_0.437_0.484_c862-r512_c64.tns,120.05,0.15443,297.588,0.436061,297.399
k21_0.899_0.489_0.437_0.484_c862-r512_c128.tns,120.17,0.091632,261.698,0.0704474,261.653
k21_0.899_0.489_0.437_0.484_c862-r512_c256.tns,120.381,0.127099,229.764,0.140213,229.743
k21_0.899_0.489_0.437_0.484_c862-r512_c512.tns,116.595,0.131787,202.576,0.462875,202.422
k21_0.899_0.489_0.437_0.484_c862-r512_c1024.tns,B size: (4096 x 2048 x 512 x 1024), 907932108 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c2048.tns,B size: (4096 x 1024 x 512 x 2048), 876034492 bytes
k21_0.899_0.489_0.437_0.484_c862-r512_c4096.tns,B size: (4096 x 512 x 512 x 4096), 850506876 bytes
k21_0.899_0.489_0.437_0.484_c862-r1024_c4.tns,123.504,0.151885,863.633,0.765182,863.229
k21_0.899_0.489_0.437_0.484_c862-r1024_c8.tns,120.084,0.131727,543.91,0.719178,543.312
k21_0.899_0.489_0.437_0.484_c862-r1024_c16.tns,121.478,0.131377,369.618,0.563288,369.399
k21_0.899_0.489_0.437_0.484_c862-r1024_c32.tns,118.3,0.135424,291.863,0.318112,291.656
k21_0.899_0.489_0.437_0.484_c862-r1024_c64.tns,118.252,0.094858,262.751,0.108696,262.697
k21_0.899_0.489_0.437_0.484_c862-r1024_c128.tns,122.178,0.095379,228.289,0.186062,228.288
k21_0.899_0.489_0.437_0.484_c862-r1024_c256.tns,115.36,0.134332,194.929,0.667303,194.427
k21_0.899_0.489_0.437_0.484_c862-r1024_c512.tns,114.874,0.117932,162.569,0.96671,161.952
k21_0.899_0.489_0.437_0.484_c862-r1024_c1024.tns,112.075,0.123372,145.794,0.178979,145.705
k21_0.899_0.489_0.437_0.484_c862-r1024_c2048.tns,B size: (2048 x 1024 x 1024 x 2048), 860550996 bytes
k21_0.899_0.489_0.437_0.484_c862-r1024_c4096.tns,B size: (2048 x 512 x 1024 x 4096), 842238012 bytes
k21_0.899_0.489_0.437_0.484_c862-r2048_c4.tns,125.28,0.25037,536.301,0.703796,535.676
k21_0.899_0.489_0.437_0.484_c862-r2048_c8.tns,119.545,0.121057,359.705,0.534238,359.591
k21_0.899_0.489_0.437_0.484_c862-r2048_c16.tns,122.05,0.126187,292.075,0.292472,292.055
k21_0.899_0.489_0.437_0.484_c862-r2048_c32.tns,119.982,0.135644,258.95,0.0833085,258.904
k21_0.899_0.489_0.437_0.484_c862-r2048_c64.tns,118.658,0.113533,230.781,0.153845,230.665
k21_0.899_0.489_0.437_0.484_c862-r2048_c128.tns,112.688,0.098865,194.368,1.01775,193.862
k21_0.899_0.489_0.437_0.484_c862-r2048_c256.tns,112.358,0.123081,162.19,0.314253,162.05
k21_0.899_0.489_0.437_0.484_c862-r2048_c512.tns,115.159,0.081944,145.735,0.237628,145.604
k21_0.899_0.489_0.437_0.484_c862-r2048_c1024.tns,117.073,0.202852,189.935,0.548095,189.683
k21_0.899_0.489_0.437_0.484_c862-r2048_c2048.tns,112.091,0.098586,324.713,4.21071,325.959
k21_0.899_0.489_0.437_0.484_c862-r2048_c4096.tns,B size: (1024 x 512 x 2048 x 4096), 838043940 bytes
k21_0.899_0.489_0.437_0.484_c862-r4096_c4.tns,120.855,0.12228,361.882,0.517745,361.611
k21_0.899_0.489_0.437_0.484_c862-r4096_c8.tns,120.766,0.141345,288.649,0.376448,288.626
k21_0.899_0.489_0.437_0.484_c862-r4096_c16.tns,118.243,0.086062,261.273,0.504467,260.892
k21_0.899_0.489_0.437_0.484_c862-r4096_c32.tns,118.399,0.128882,229.492,0.362548,229.336
k21_0.899_0.489_0.437_0.484_c862-r4096_c64.tns,119.096,0.137098,194.099,0.30174,193.949
k21_0.899_0.489_0.437_0.484_c862-r4096_c128.tns,115.134,0.125195,161.651,0.137108,161.642
k21_0.899_0.489_0.437_0.484_c862-r4096_c256.tns,116.909,0.098154,151.401,0.177025,151.303
k21_0.899_0.489_0.437_0.484_c862-r4096_c512.tns,112.252,0.097343,205.901,1.62128,205.711
k21_0.899_0.489_0.437_0.484_c862-r4096_c1024.tns,114.662,0.13314,289.065,2.71917,287.237
k21_0.899_0.489_0.437_0.484_c862-r4096_c2048.tns,113.056,0.100158,471.091,4.00616,472.786
k21_0.899_0.489_0.437_0.484_c862-r4096_c4096.tns,116.972,0.113523,491.964,1.01154,491.98
k21_0.942_0.437_0.437_0.484_c862-r4_c4.tns,Assemble: 0.093285 ms
k21_0.942_0.437_0.437_0.484_c862-r4_c8.tns,B size: (524288 x 262144 x 4 x 8), 1106753496 bytes
k21_0.942_0.437_0.437_0.484_c862-r4_c16.tns,Assemble: 0.221847 ms
k21_0.942_0.437_0.437_0.484_c862-r4_c32.tns,B size: (524288 x 65536 x 4 x 32), 1105384096 bytes
k21_0.942_0.437_0.437_0.484_c862-r4_c64.tns,B size: (524288 x 32768 x 4 x 64), 1103801352 bytes
k21_0.942_0.437_0.437_0.484_c862-r4_c128.tns,B size: (524288 x 16384 x 4 x 128), 1100993512 bytes
k21_0.942_0.437_0.437_0.484_c862-r4_c256.tns,B size: (524288 x 8192 x 4 x 256), 1096097256 bytes
