filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.548_c862-r4_c2.tns,116.454,0.18007,8.1119,0.164001,8.01989
k16_0.899_0.537_0.537_0.548_c862-r4_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4_c256.tns,117.086,0.069799,11.0862,0.0823659,11.0366
k16_0.899_0.537_0.537_0.548_c862-r4_c32.tns,117.617,0.062128,8.44988,0.0699213,8.40289
k16_0.899_0.537_0.537_0.548_c862-r4_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4_c4.tns,117.317,0.069242,7.91735,0.200373,7.77436
k16_0.899_0.537_0.537_0.548_c862-r4_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4_c64.tns,118.628,0.06585,8.94204,0.0743045,8.89344
k16_0.899_0.537_0.537_0.548_c862-r4_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r4_c8.tns,117.571,0.06636,8.40884,0.0934603,8.3739
k16_0.899_0.537_0.537_0.548_c862-r4_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c128.tns,117.826,0.069765,9.62056,0.05748,9.58606
k16_0.899_0.537_0.537_0.548_c862-r512_c16.tns,117.411,0.066449,7.79444,0.0814255,7.73969
k16_0.899_0.537_0.537_0.548_c862-r512_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c2.tns,116.656,0.069694,7.10692,0.0902439,7.04088
k16_0.899_0.537_0.537_0.548_c862-r512_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c256.tns,120.978,0.075773,10.7998,0.0661469,10.7598
k16_0.899_0.537_0.537_0.548_c862-r512_c32.tns,117.422,0.062957,8.48839,0.0724974,8.4441
k16_0.899_0.537_0.537_0.548_c862-r512_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c4.tns,117.56,0.069237,7.2,0.0881814,7.14254
k16_0.899_0.537_0.537_0.548_c862-r512_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c64.tns,117.383,0.065136,8.92995,0.0671483,8.8885
k16_0.899_0.537_0.537_0.548_c862-r512_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r512_c8.tns,117.369,0.064953,7.71124,0.076709,7.6621
k16_0.899_0.537_0.537_0.548_c862-r512_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c128.tns,117.921,0.076286,9.82168,0.0672309,9.77898
k16_0.899_0.537_0.537_0.548_c862-r64_c16.tns,117.52,0.073635,7.89531,0.0991896,7.83117
k16_0.899_0.537_0.537_0.548_c862-r64_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c2.tns,116.82,0.064962,7.24495,0.0810909,7.18904
k16_0.899_0.537_0.537_0.548_c862-r64_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c256.tns,117.735,0.065211,11.0361,0.0683786,10.994
k16_0.899_0.537_0.537_0.548_c862-r64_c32.tns,119.002,0.063027,8.73686,0.0751872,8.69223
k16_0.899_0.537_0.537_0.548_c862-r64_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c4.tns,117.524,0.061526,7.39099,0.0883103,7.33271
k16_0.899_0.537_0.537_0.548_c862-r64_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c64.tns,117.56,0.061018,9.12415,0.0644697,9.08042
k16_0.899_0.537_0.537_0.548_c862-r64_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r64_c8.tns,117.686,0.062543,7.85431,0.0799552,7.80184
k16_0.899_0.537_0.537_0.548_c862-r64_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r65536_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r65536_c128.tns,118.439,0.062178,0.00692412,0.000235321,0.0068165
k16_0.899_0.537_0.537_0.548_c862-r65536_c16.tns,117.443,0.05865,0.006983,0.000271194,0.0068705
k16_0.899_0.537_0.537_0.548_c862-r65536_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r65536_c2.tns,116.915,0.057647,0.0069725,0.000181986,0.006897
k16_0.899_0.537_0.537_0.548_c862-r65536_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r65536_c256.tns,117.421,0.059931,0.00705888,0.000275802,0.006944
k16_0.899_0.537_0.537_0.548_c862-r65536_c32.tns,117.557,0.064175,0.007146,0.000303271,0.006995
k16_0.899_0.537_0.537_0.548_c862-r65536_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r65536_c4.tns,117.144,0.059271,0.00702737,0.000229202,0.006928
k16_0.899_0.537_0.537_0.548_c862-r65536_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r65536_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r65536_c64.tns,117.91,0.05509,0.007073,0.000204143,0.0069775
k16_0.899_0.537_0.537_0.548_c862-r65536_c65536.tns,117.084,0.066436,0.00781013,0.00169187,0.007015
k16_0.899_0.537_0.537_0.548_c862-r65536_c8.tns,117.276,0.066522,0.00704825,0.000230293,0.006885
k16_0.899_0.537_0.537_0.548_c862-r65536_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c128.tns,117.935,0.066209,7.0991,0.0630534,7.05972
k16_0.899_0.537_0.537_0.548_c862-r8192_c16.tns,117.549,0.063023,5.82304,0.0809059,5.77316
k16_0.899_0.537_0.537_0.548_c862-r8192_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c2.tns,116.794,0.060709,5.3217,0.0776496,5.27323
k16_0.899_0.537_0.537_0.548_c862-r8192_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c256.tns,117.622,0.063294,7.92067,0.0543179,7.89889
k16_0.899_0.537_0.537_0.548_c862-r8192_c32.tns,118.1,0.066587,6.30515,0.0648121,6.2641
k16_0.899_0.537_0.537_0.548_c862-r8192_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c4.tns,117.665,0.061288,5.47194,0.15807,5.37323
k16_0.899_0.537_0.537_0.548_c862-r8192_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c64.tns,118.108,0.067816,6.60815,0.0551761,6.57279
k16_0.899_0.537_0.537_0.548_c862-r8192_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8192_c8.tns,117.919,0.06138,5.72124,0.072638,5.67603
k16_0.899_0.537_0.537_0.548_c862-r8192_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c128.tns,116.726,0.061317,10.2281,0.0680187,10.1824
k16_0.899_0.537_0.537_0.548_c862-r8_c16.tns,118.798,0.059881,8.07776,0.0889222,8.01881
k16_0.899_0.537_0.537_0.548_c862-r8_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c2.tns,117.169,0.064842,7.38173,0.0790866,7.32853
k16_0.899_0.537_0.537_0.548_c862-r8_c2048.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c256.tns,119.043,0.064426,11.5394,0.0680747,11.4956
k16_0.899_0.537_0.537_0.548_c862-r8_c32.tns,116.963,0.068329,8.91288,0.076469,8.85919
k16_0.899_0.537_0.537_0.548_c862-r8_c32768.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c4.tns,117.324,0.064431,7.56467,0.0858791,7.49531
k16_0.899_0.537_0.537_0.548_c862-r8_c4096.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c512.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c64.tns,116.717,0.065534,9.39236,0.0683489,9.34717
k16_0.899_0.537_0.537_0.548_c862-r8_c65536.tns,,,,,
k16_0.899_0.537_0.537_0.548_c862-r8_c8.tns,117.509,0.066432,8.00294,0.0790777,7.94844
k16_0.899_0.537_0.537_0.548_c862-r8_c8192.tns,,,,,
k16_0.899_0.537_0.537_0.549_c862-r1024_c1024.tns,,,,,
k16_0.899_0.537_0.537_0.549_c862-r1024_c128.tns,117.842,0.064483,9.46761,0.0677994,9.42917
k16_0.899_0.537_0.537_0.549_c862-r1024_c16.tns,117.626,0.064048,7.62362,0.0870455,7.56709
k16_0.899_0.537_0.537_0.549_c862-r1024_c16384.tns,,,,,
k16_0.899_0.537_0.537_0.549_c862-r1024_c2.tns,116.533,0.064123,7.01117,0.0917137,6.94496
k16_0.899_0.537_0.537_0.549_c862-r1024_c2048.tns,,,,,
